Question #,Segment,Subsegment,Question,Question ID,Chart ID,Chart label,Chart style,Chart description
1,Sales,,What were total sales across all sites last week?,sales-what-were-total-sales-across,sales,Total sales by site — last week,Grouped bar by site,Total sales per site — current vs prior week
2,Sales,,Which site had the highest revenue in the last 30 days?,sales-which-site-had-the-highest,sales,Total sales by site — last week,Grouped bar by site,Total sales per site — current vs prior week
3,Sales,,How did sales perform this week vs the same week last year?,sales-how-did-sales-perform-this,lfl,This week v same week last year,Multi-series line,Period-over-period comparison (two lines)
4,Sales,,What is the average transaction value per site this month?,sales-what-is-the-average-transaction,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
5,Sales,,Which hour of the day drives the most revenue on weekdays?,sales-which-hour-of-the-day,hour,Revenue by hour — weekday average,Bar chart by hour,Weekday revenue by hour of day
6,Sales,,How has revenue trended over the last 12 weeks?,sales-how-has-revenue-trended-over,trend,Revenue trend — last 12 weeks,Area chart,Single-metric area over time (12-week default)
7,Sales,,What is the sales split between eat-in and takeaway?,sales-what-is-the-sales-split,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
8,Sales,,Which product category generates the most revenue?,sales-which-product-category-generates-the,waste-category-treemap,Waste by category · nested,Treemap,Nested category proportions
9,Sales,,What are the top 10 best-selling items across all sites?,sales-what-are-the-top-10,waste-top10,Top 10 most wasted items · network,Ranked horizontal bar,Top N ranked by value
10,Sales,,How do weekend sales compare to weekday sales on average?,sales-how-do-weekend-sales-compare,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
11,Sales,,Which site has shown the strongest month-on-month growth?,sales-which-site-has-shown-the,growth,Month-on-month growth by site,Horizontal diverging bar,Per-site ± change around zero
12,Sales,,What percentage of revenue comes from our loyalty customers?,sales-what-percentage-of-revenue-comes,eatin,Sales split · eat-in v takeaway v delivery,Donut chart,Part-of-whole split (locked to half width)
13,Sales,,How did the recent menu change impact sales mix?,sales-how-did-the-recent-menu,lfl,This week v same week last year,Multi-series line,Period-over-period comparison (two lines)
14,Sales,,What is the revenue per labour hour across each site?,sales-what-is-the-revenue-per,labour,Revenue per labour hour by site,Coloured bar by site,"Single £/metric per site, coloured by threshold"
15,Sales,,Which new product has had the best sales performance since launch?,sales-which-new-product-has-had,trend,Revenue trend — last 12 weeks,Area chart,Single-metric area over time (12-week default)
